,Date, Signal(dBm), Noise(dBm), Channel, Security, Mode,SSID,BSSID,Unnamed: 6
199,11/10/2566 BE 17:18:14, -88, -92, 48, WPA2-Enterprise, ac,uniwide ,1C-E6-C7-F0-1A-86,
200,11/10/2566 BE 17:18:01, -84, -93, 48, WPA2-Enterprise, ac,uniwide ,1C-E6-C7-F0-1A-86,
201,11/10/2566 BE 17:17:48, -84, -93, 48, WPA2-Enterprise, ac,uniwide ,1C-E6-C7-F0-1A-86,
202,11/10/2566 BE 17:17:35, -84, -93, 48, WPA2-Enterprise, ac,uniwide ,1C-E6-C7-F0-1A-86,
203,11/10/2566 BE 17:17:22, -89, -96, 48, WPA2-Enterprise, ac,uniwide ,1C-E6-C7-F0-1A-86,
204,11/10/2566 BE 17:15:31, -86, -95, 48, WPA2-Enterprise, ac,uniwide ,1C-E6-C7-F0-1A-86,
205,11/10/2566 BE 17:15:18, -86, -95, 48, WPA2-Enterprise, ac,uniwide ,1C-E6-C7-F0-1A-86,
206,11/10/2566 BE 17:15:05, -86, -95, 48, WPA2-Enterprise, ac,uniwide ,1C-E6-C7-F0-1A-86,
207,11/10/2566 BE 17:13:22, -90, -94, 48, WPA2-Enterprise, ac,uniwide ,1C-E6-C7-F0-1A-86,
208,11/10/2566 BE 17:13:10, -90, -94, 48, WPA2-Enterprise, ac,uniwide ,1C-E6-C7-F0-1A-86,
209,11/10/2566 BE 17:42:01, -85, -95, 52, Open, ac,UNSW Guest ,44-AD-D9-60-BE-D4,
